filepath,filename,label,extension,file_hash,is_readable,width,height,channels,file_size_kb,split
C:\Users\Startklar\Downloads\ML\Sudhanshu\data\raw\PBC_dataset_normal_DIB\neutrophil\SNE_142694.jpg,SNE_142694.jpg,neutrophil,.jpg,8f5e93fe4ee0a9308b000c0322db006d,True,360.0,363.0,3.0,17.66,train
C:\Users\Startklar\Downloads\ML\Sudhanshu\data\raw\PBC_dataset_normal_DIB\platelet\PLATELET_347962.jpg,PLATELET_347962.jpg,platelet,.jpg,efcf8a90f5b97f5a47ed448ea401168e,True,360.0,363.0,3.0,11.54,train
C:\Users\Startklar\Downloads\ML\Sudhanshu\data\raw\PBC_dataset_normal_DIB\lymphocyte\LY_562167.jpg,LY_562167.jpg,lymphocyte,.jpg,6cf8313ec4f03e6632a2c0146d6edfd0,True,360.0,363.0,3.0,14.95,train
C:\Users\Startklar\Downloads\ML\Sudhanshu\data\raw\PBC_dataset_normal_DIB\eosinophil\EO_490551.jpg,EO_490551.jpg,eosinophil,.jpg,8594ea5640e84232ae33052d1d99ad37,True,360.0,363.0,3.0,18.57,train
C:\Users\Startklar\Downloads\ML\Sudhanshu\data\raw\PBC_dataset_normal_DIB\eosinophil\EO_725251.jpg,EO_725251.jpg,eosinophil,.jpg,25073d580653b0e5e1a3157601479b39,True,360.0,363.0,3.0,19.02,train
C:\Users\Startklar\Downloads\ML\Sudhanshu\data\raw\PBC_dataset_normal_DIB\ig\MMY_298333.jpg,MMY_298333.jpg,immature_granulocytes,.jpg,c8882fcfa4144c5298ea0fc7973588a6,True,360.0,363.0,3.0,15.27,train
C:\Users\Startklar\Downloads\ML\Sudhanshu\data\raw\PBC_dataset_normal_DIB\ig\MMY_563741.jpg,MMY_563741.jpg,immature_granulocytes,.jpg,729f1fdda6842741c4a622fa798fd450,True,360.0,363.0,3.0,16.43,train
C:\Users\Startklar\Downloads\ML\Sudhanshu\data\raw\PBC_dataset_normal_DIB\ig\IG_325849.jpg,IG_325849.jpg,immature_granulocytes,.jpg,e839b0a20b26f274a95b07b7368b2575,True,360.0,360.0,3.0,17.33,train
C:\Users\Startklar\Downloads\ML\Sudhanshu\data\raw\PBC_dataset_normal_DIB\platelet\PLATELET_107928.jpg,PLATELET_107928.jpg,platelet,.jpg,a412b6cd8438325dfdddd974c1ea7632,True,360.0,363.0,3.0,11.82,train
C:\Users\Startklar\Downloads\ML\Sudhanshu\data\raw\PBC_dataset_normal_DIB\eosinophil\EO_63106.jpg,EO_63106.jpg,eosinophil,.jpg,f1e355e1fe0f1a0b56f8a88fccfe85fc,True,360.0,363.0,3.0,17.36,train
C:\Users\Startklar\Downloads\ML\Sudhanshu\data\raw\PBC_dataset_normal_DIB\platelet\PLATELET_302953.jpg,PLATELET_302953.jpg,platelet,.jpg,66a412d6c5167f35f65a06ca5a60da32,True,360.0,363.0,3.0,10.15,train
C:\Users\Startklar\Downloads\ML\Sudhanshu\data\raw\PBC_dataset_normal_DIB\lymphocyte\LY_680999.jpg,LY_680999.jpg,lymphocyte,.jpg,f03d9656a3aa5f74a5b8b97555d16575,True,360.0,363.0,3.0,16.26,train
C:\Users\Startklar\Downloads\ML\Sudhanshu\data\raw\PBC_dataset_normal_DIB\neutrophil\SNE_265901.jpg,SNE_265901.jpg,neutrophil,.jpg,3ecf73aa8130f4ea428987f9ac566960,True,360.0,363.0,3.0,16.51,train
C:\Users\Startklar\Downloads\ML\Sudhanshu\data\raw\PBC_dataset_normal_DIB\neutrophil\SNE_4845.jpg,SNE_4845.jpg,neutrophil,.jpg,42b3bed8a6219ce6dc840ec3c6be7d47,True,360.0,363.0,3.0,14.82,train
C:\Users\Startklar\Downloads\ML\Sudhanshu\data\raw\PBC_dataset_normal_DIB\erythroblast\ERB_454250.jpg,ERB_454250.jpg,erythroblast,.jpg,cc6bb2584dc11bc6893893cb2f4c4705,True,360.0,363.0,3.0,17.3,train
C:\Users\Startklar\Downloads\ML\Sudhanshu\data\raw\PBC_dataset_normal_DIB\monocyte\MO_212567.jpg,MO_212567.jpg,monocyte,.jpg,75e79c341f2b854556b14aa2386177ea,True,360.0,363.0,3.0,14.37,train
C:\Users\Startklar\Downloads\ML\Sudhanshu\data\raw\PBC_dataset_normal_DIB\lymphocyte\LY_253379.jpg,LY_253379.jpg,lymphocyte,.jpg,0c470602d0a44ec470ac5b1b7966f625,True,360.0,363.0,3.0,14.95,train
C:\Users\Startklar\Downloads\ML\Sudhanshu\data\raw\PBC_dataset_normal_DIB\neutrophil\BNE_645573.jpg,BNE_645573.jpg,neutrophil,.jpg,2c26089bf3b75088f032683a1837e87c,True,360.0,363.0,3.0,16.05,train
C:\Users\Startklar\Downloads\ML\Sudhanshu\data\raw\PBC_dataset_normal_DIB\neutrophil\SNE_621758.jpg,SNE_621758.jpg,neutrophil,.jpg,d9725fb3344d5ba3bdf02f9943f1d9f5,True,360.0,363.0,3.0,14.61,train
C:\Users\Startklar\Downloads\ML\Sudhanshu\data\raw\PBC_dataset_normal_DIB\neutrophil\SNE_404595.jpg,SNE_404595.jpg,neutrophil,.jpg,6b5687f03b72c10eb672fffbde10c271,True,360.0,363.0,3.0,17.31,train
C:\Users\Startklar\Downloads\ML\Sudhanshu\data\raw\PBC_dataset_normal_DIB\ig\MMY_263520.jpg,MMY_263520.jpg,immature_granulocytes,.jpg,d945dfa84be8481224b21222bb938996,True,360.0,363.0,3.0,16.24,train
C:\Users\Startklar\Downloads\ML\Sudhanshu\data\raw\PBC_dataset_normal_DIB\platelet\PLATELET_261592.jpg,PLATELET_261592.jpg,platelet,.jpg,4d009ce71734e817ca03decc240a12dd,True,360.0,363.0,3.0,12.01,train
C:\Users\Startklar\Downloads\ML\Sudhanshu\data\raw\PBC_dataset_normal_DIB\eosinophil\EO_713515.jpg,EO_713515.jpg,eosinophil,.jpg,bd09ff833cc064be0fabac5aaf5122cc,True,360.0,363.0,3.0,17.84,train
C:\Users\Startklar\Downloads\ML\Sudhanshu\data\raw\PBC_dataset_normal_DIB\basophil\BA_379312.jpg,BA_379312.jpg,basophil,.jpg,6cd162f5e15f37381a5f349cc0158d49,True,360.0,363.0,3.0,18.33,train
